entry_date,direction,entry_spread,exit_date,pnl,fold,pair
2023-10-06,long,31.643076694533534,2023-10-10,0.3928,4,AAPL/MSFT
2023-10-10,short,32.03592311969277,2023-10-11,0.3764,4,AAPL/MSFT
2023-10-11,long,31.659565624504438,2023-10-12,1.4517,4,AAPL/MSFT
2023-10-12,short,33.111256194386044,2023-10-13,0.3314,4,AAPL/MSFT
2023-10-13,long,32.7798297953818,2023-12-01,-8.3807,4,AAPL/MSFT
2023-12-01,short,24.399166057199267,2023-12-04,-0.5719,4,AAPL/MSFT
2023-12-04,long,24.971046668667356,2023-12-05,2.4589,4,AAPL/MSFT
2023-12-05,short,27.429961066634604,2023-12-06,-0.5483,4,AAPL/MSFT
2023-12-06,long,27.97824095765293,2023-12-07,0.9826,4,AAPL/MSFT
2023-12-07,short,28.9608472694388,2023-12-08,0.0185,4,AAPL/MSFT
2023-12-08,long,28.94231113400747,2023-12-11,-1.2131,4,AAPL/MSFT
2023-12-11,short,27.729168399029135,2023-12-12,-0.1583,4,AAPL/MSFT
2023-12-12,long,27.88750925343288,2023-12-13,3.2181,4,AAPL/MSFT
2023-12-13,short,31.10556515322895,2023-12-15,-1.2151,4,AAPL/MSFT
2023-12-18,long,404.3734224701086,2023-12-19,-1.5453,5,NOC/XLF
2023-12-19,short,402.8281515982494,2023-12-20,5.9528,5,NOC/XLF
2023-12-20,long,396.87536435653846,2023-12-26,6.375,5,NOC/XLF
2023-12-26,short,403.25033223947753,2023-12-27,0.4117,5,NOC/XLF
2023-12-27,long,402.83865174728817,2023-12-28,1.2767,5,NOC/XLF
2023-12-28,short,404.1153910086984,2023-12-29,-2.5123,5,NOC/XLF
2023-12-29,long,406.627732482867,2024-01-02,1.6897,5,NOC/XLF
2024-01-02,short,408.3174805132059,2024-01-03,-4.994,5,NOC/XLF
2024-01-03,long,413.3115196087781,2024-01-04,-3.2127,5,NOC/XLF
2024-01-04,short,410.0988459021872,2024-01-05,1.9622,5,NOC/XLF
2024-01-05,long,408.1366469110417,2024-01-08,4.8906,5,NOC/XLF
2024-01-08,short,413.027282353182,2024-01-09,2.6359,5,NOC/XLF
2024-01-09,long,410.3914076532292,2024-01-10,-0.3407,5,NOC/XLF
2024-01-10,short,410.05067504204766,2024-01-11,4.2766,5,NOC/XLF
2024-01-11,long,405.77409854836355,2024-01-12,13.3224,5,NOC/XLF
2024-01-12,short,419.0965435180232,2024-01-16,2.7567,5,NOC/XLF
2024-01-17,short,412.54899138086705,2024-01-18,-0.6517,5,NOC/XLF
2024-01-18,long,413.2006810707619,2024-01-19,-4.7084,5,NOC/XLF
2024-01-19,short,408.4923177298409,2024-01-22,3.9324,5,NOC/XLF
2024-01-22,long,404.55993779849257,2024-02-21,-8.1883,5,NOC/XLF
2024-02-21,short,396.37162226025634,2024-02-22,3.3865,5,NOC/XLF
2024-02-22,long,392.98510628487867,2024-02-23,5.4913,5,NOC/XLF
2024-02-23,short,398.4764264546382,2024-02-26,1.4664,5,NOC/XLF
2024-02-26,long,397.0100391462068,2024-02-27,-1.0783,5,NOC/XLF
2024-02-27,short,395.9317415734851,2024-02-28,-0.3935,5,NOC/XLF
2024-02-28,long,396.32524786073964,2024-02-29,2.0265,5,NOC/XLF
2024-02-29,short,398.35170321500505,2024-03-01,5.8622,5,NOC/XLF
2024-03-01,long,392.4894710263021,2024-03-04,4.8936,5,NOC/XLF
2024-03-04,short,397.38304981235376,2024-03-05,1.7727,5,NOC/XLF
2024-03-05,long,395.6103264986499,2024-03-06,2.4705,5,NOC/XLF
2024-03-06,short,398.08082945387224,2024-03-07,4.4475,5,NOC/XLF
2024-03-07,long,393.633293022085,2024-03-08,2.9166,5,NOC/XLF
2024-03-08,short,396.5499274292309,2024-03-11,0.3247,5,NOC/XLF
2024-03-11,long,396.2251983109861,2024-03-12,-0.5977,5,NOC/XLF
2024-03-12,short,395.62746185935725,2024-03-13,0.9449,5,NOC/XLF
2024-03-13,long,394.6825361703421,2024-03-14,2.9348,5,NOC/XLF
2024-03-15,long,284.76649354103677,2024-03-18,2.1431,6,AAPL/XOM
2024-03-18,short,286.9095674941709,2024-03-19,-3.1449,6,AAPL/XOM
2024-03-20,short,292.5164621950595,2024-03-21,6.7158,6,AAPL/XOM
2024-03-21,long,285.8006172895911,2024-03-22,0.901,6,AAPL/XOM
2024-03-22,short,286.70157248978643,2024-03-25,0.2288,6,AAPL/XOM
2024-03-25,long,286.4728055179803,2024-03-26,-2.0087,6,AAPL/XOM
2024-03-26,short,284.4640610958105,2024-03-27,-4.7718,6,AAPL/XOM
2024-03-28,short,288.7235518645214,2024-04-01,0.6681,6,AAPL/XOM
2024-04-01,long,288.0554104462038,2024-04-02,1.1651,6,AAPL/XOM
2024-04-02,short,289.220539355924,2024-04-04,-0.4305,6,AAPL/XOM
2024-04-05,short,292.09184601541796,2024-04-16,2.9404,6,AAPL/XOM
2024-04-16,long,289.15142337053703,2024-04-17,-1.4277,6,AAPL/XOM
2024-04-17,short,287.72375643179726,2024-04-18,1.0631,6,AAPL/XOM
2024-04-18,long,286.66068589892706,2024-04-19,-0.628,6,AAPL/XOM
2024-04-19,short,286.0326648650631,2024-04-22,-1.5275,6,AAPL/XOM
2024-04-22,long,287.5601410699752,2024-04-23,1.5304,6,AAPL/XOM
2024-04-23,short,289.09054305092957,2024-04-26,0.7653,6,AAPL/XOM
2024-04-26,long,288.32523715667134,2024-04-29,5.8774,6,AAPL/XOM
2024-04-29,short,294.20265657060975,2024-04-30,4.5404,6,AAPL/XOM
2024-04-30,long,289.66223247883033,2024-05-01,-3.3119,6,AAPL/XOM
2024-05-01,short,286.3502943092931,2024-05-02,-3.9078,6,AAPL/XOM
2024-05-02,long,290.25812828053705,2024-05-03,10.0017,6,AAPL/XOM
2024-05-03,short,300.2597865753827,2024-06-10,-7.8545,6,AAPL/XOM
2024-06-11,short,-62.82110571325583,2024-06-13,2.9715,7,AMZN/XLF
2024-06-13,long,-65.79261353078627,2024-06-14,0.6257,7,AMZN/XLF
2024-06-14,short,-65.16694816029153,2024-06-17,1.8036,7,AMZN/XLF
2024-06-17,long,-66.97050063409586,2024-06-18,-2.8416,7,AMZN/XLF
2024-06-18,short,-69.81209259703058,2024-06-20,-1.9434,7,AMZN/XLF
2024-06-20,long,-67.86870642522672,2024-06-21,3.9594,7,AMZN/XLF
2024-06-21,short,-63.90933802616155,2024-06-24,6.1095,7,AMZN/XLF
2024-06-24,long,-70.01880832388642,2024-06-25,2.6751,7,AMZN/XLF
2024-06-25,short,-67.34374910878245,2024-07-11,-2.8104,7,AMZN/XLF
2024-07-11,long,-64.5333845423558,2024-07-12,-1.4203,7,AMZN/XLF
2024-07-12,short,-65.95372551046205,2024-07-15,5.5802,7,AMZN/XLF
2024-07-15,long,-71.53389426615581,2024-09-05,-26.8136,7,AMZN/XLF
2024-09-06,long,84.8281423418627,2024-09-10,-0.2997,8,GLD/RTX
2024-09-10,short,84.52845328334175,2024-09-11,-0.9103,8,GLD/RTX
2024-09-11,long,85.43870759904655,2024-09-12,3.046,8,GLD/RTX
2024-09-12,short,88.48466665628845,2024-09-17,-2.6965,8,GLD/RTX
2024-09-17,long,91.1811496454732,2024-09-18,-0.9806,8,GLD/RTX
2024-09-18,short,90.20054528404518,2024-10-07,-0.0306,8,GLD/RTX
2024-10-07,long,90.23110632270226,2024-10-08,0.1081,8,GLD/RTX
2024-10-08,short,90.33918549856364,2024-10-09,1.8739,8,GLD/RTX
2024-10-09,long,88.46524783045211,2024-10-10,3.0133,8,GLD/RTX
2024-10-10,short,91.47856278484457,2024-11-11,2.6742,8,GLD/RTX
2024-11-11,long,88.80431773419963,2024-11-12,-0.6251,8,GLD/RTX
2024-11-12,short,88.1792258235109,2024-11-13,2.8878,8,GLD/RTX
2024-11-13,long,85.29143694033922,2024-11-14,5.3258,8,GLD/RTX
2024-11-14,short,90.61725730236708,2024-11-15,0.717,8,GLD/RTX
2024-11-15,long,89.90024715658586,2024-11-18,3.4357,8,GLD/RTX
2024-11-18,short,93.33593243681261,2024-11-25,-2.3058,8,GLD/RTX
2024-11-25,long,95.64172602263105,2024-11-26,-1.9556,8,GLD/RTX
2024-11-26,short,93.68608582695174,2024-11-27,-0.8742,8,GLD/RTX
2024-11-27,long,94.56023890214124,2024-11-29,0.256,8,GLD/RTX
2024-12-02,short,76.45910518797436,2024-12-03,-1.306,9,GLD/RTX
2024-12-03,long,77.7651381335416,2024-12-04,-0.8499,9,GLD/RTX
2024-12-04,short,76.91525173489691,2024-12-05,0.811,9,GLD/RTX
2024-12-05,long,76.10421630829939,2024-12-06,0.8357,9,GLD/RTX
2024-12-06,short,76.93990342885573,2024-12-09,-4.3938,9,GLD/RTX
2024-12-09,long,81.33375215598218,2024-12-10,1.7808,9,GLD/RTX
2024-12-10,short,83.11455984876554,2024-12-13,4.497,9,GLD/RTX
2024-12-13,long,78.61758021040356,2024-12-16,0.0835,9,GLD/RTX
2024-12-16,short,78.70108215818505,2024-12-17,-0.0308,9,GLD/RTX
2024-12-17,long,78.73191650058709,2024-12-18,-0.5013,9,GLD/RTX
2024-12-18,short,78.2306434650429,2024-12-19,1.0811,9,GLD/RTX
2024-12-19,long,77.14958135856722,2024-12-20,1.0649,9,GLD/RTX
2024-12-20,short,78.21446150619929,2024-12-23,1.351,9,GLD/RTX
2024-12-23,long,76.86341734755891,2024-12-24,0.1986,9,GLD/RTX
2024-12-24,short,77.06202739416713,2024-12-26,-1.3345,9,GLD/RTX
2024-12-26,long,78.39655638048575,2024-12-27,-1.2057,9,GLD/RTX
2024-12-27,short,77.1908370378986,2024-12-30,-1.3264,9,GLD/RTX
